"ID";"Imagen";"Nombre";"Referencia";"Categoría";"Precio base";"Precio final";"Cantidad";"Estado";
"289";"http://yalobox.com/img/p/3/1/1/311.jpg";"Detergente en Polvo Surf Hortensias y Flores Blancas 1kg";"";"Home";"2.675439";"2.68";"1";"1";
"53";"http://yalobox.com/img/p/7/1/71.jpg";"Tallarín/Linguini Don Vittorio 400g";"";"Home";"1.750000";"1.75";"5";"1";
"233";"http://yalobox.com/img/p/2/5/3/253.jpg";"Chupetes Plop Sandia Ácida";"";"Home";"2.368421";"2.37";"1";"1";
"176";"http://yalobox.com/img/p/1/9/7/197.jpg";"BC Color Freeze Crema Control Completo 150ml";"";"Home";"21.052632";"21.05";"2";"1";
"119";"http://yalobox.com/img/p/1/4/0/140.jpg";"Servilletas Familia Mediana 300 u";"";"Home";"1.692982";"1.69";"4";"1";
"297";"http://yalobox.com/img/p/3/1/9/319.jpg";"Aceite Girasol 2 Lt";"";"Home";"5.657895";"5.66";"2";"1";
"62";"http://yalobox.com/img/p/7/9/79.jpg";"Chicle Orbit Sin Azúcar Arandano";"";"Home";"0.789474";"0.79";"11";"1";
"241";"http://yalobox.com/img/p/2/6/1/261.jpg";"Canguil Para Microondas Act II Mantequilla";"";"Home";"1.315789";"1.32";"2";"1";
"184";"http://yalobox.com/img/p/2/0/5/205.jpg";"BC Q10 Time Restore Tratamiento Crema 250ml";"";"Home";"30.701754";"30.7";"1";"1";
"127";"http://yalobox.com/img/p/1/5/7/157.jpg";"Desodorante Spray Dove Clear Tone Women";"";"Home";"6.087719";"6.09";"2";"1";
"305";"http://yalobox.com/img/p/3/2/7/327.jpg";"Jabón Lava Todo 6 Arcoiris Floral Pack 2 Unidades";"";"Home";"1.061404";"1.06";"0";"1";
"70";"http://yalobox.com/img/p/8/9/89.jpg";"Menestra de Lentejas Snob 425g";"";"Home";"1.254386";"1.25";"2";"1";
"249";"http://yalobox.com/img/p/2/6/9/269.jpg";"Cerveza Artesanal Latitud Cero Concordia 330ml";"";"Home";"1.973684";"1.97";"4";"1";
"192";"http://yalobox.com/img/p/2/1/3/213.jpg";"Leche Nutri Descremada Carton 1L";"";"Home";"1.271930";"1.27";"24";"1";
"135";"http://yalobox.com/img/p/1/5/3/153.jpg";"Eliminador de Olores Baño Toque Familia Pacific";"";"Home";"4.070175";"4.07";"1";"1";
"313";"http://yalobox.com/img/p/3/3/5/335.jpg";"Chocolyne Splenda Funda 120g";"";"Home";"3.052632";"3.05";"1";"1";
"78";"http://yalobox.com/img/p/9/7/97.jpg";"Desmaquilladores Tippy's 100x";"";"Home";"2.447368";"2.45";"1";"1";
"257";"http://yalobox.com/img/p/2/7/7/277.jpg";"Horchata ILE Caja 25 Sobres";"";"Home";"1.008772";"1.01";"1";"1";
